,lender_name,lender_id,advertiser_name,advertiser_id,match_index,score
282,FREMONT INVESTMENT & LOAN,3-0000025653,Fremont Investment & Loan,490.0,277.0,100.0
283,CORNERSTONE BANK,3-0000026006,Cornerstone Bank NA,306.0,278.0,100.0
284,GENESEE REGIONAL BANK,3-0000026333,Genesee Regional Bank,513.0,1202.0,100.0
285,FIRST COMMERCIAL BANK,3-0000026359,,,,
286,ATLANTIC STEWARDSHIP BANK,3-0000026390,Atlantic Stewardship Bank,109.0,280.0,100.0
287,FIRSTBANK,3-0000026460,,,,
288,NORTH SHORE BANK,3-0000026484,North Shore Bank,835.0,281.0,100.0
289,MELROSE COOPERATIVE BANK,3-0000026511,Melrose Cooperative Bank,748.0,282.0,100.0
290,BEVERLY COOPERATIVE BANK,3-0000026601,Beverly Cooperative Bank,175.0,283.0,100.0
291,READING CO-OPERATIVE BANK,3-0000026620,Reading Cooperative Bank,954.0,284.0,100.0
292,FIRSTRUST BANK,3-0000026647,Firstrust Bank,470.0,285.0,100.0
293,FIRST REPUBLIC BANK,3-0000026665,First Republic Bank,459.0,133.0,100.0
294,CAROLINA FIRST BANK,3-0000026849,Carolina First Corp,236.0,286.0,100.0
295,RIVERSIDE BANK,3-0000026951,Riverside Bank,972.0,287.0,100.0
296,WILSON BANK & TRUST,3-0000026962,Wilson Bank & Trust,1215.0,288.0,100.0
297,REPUBLIC FIRST BANK,3-0000027332,,,,
298,PEOPLE'S BANK,3-0000027334,Peoples Bank,907.0,32.0,100.0
299,OMNI BANK,3-0000027397,Omni Bank,867.0,290.0,100.0
300,BANCFIRST,3-0000027476,BancFirst Corp,132.0,137.0,100.0
301,MERCANTILE BANK,3-0000027515,MERCANTILE BANK CORP,715.0,319.0,100.0
302,ALTOONA FIRST SAVINGS BANK,3-0000027711,Altoona First Savings Bank,68.0,291.0,100.0
303,HOME SAVINGS AND LOAN,3-0000028114,Home Savings & Loan Co,594.0,356.0,88.82234310605735
304,NORTHWEST SAVINGS BANK,3-0000028178,,,,
305,HADDON SAVINGS BANK,3-0000028222,Haddon Savings Bank,562.0,293.0,100.0
306,CITIZENS SAVINGS BANK,3-0000028428,Citizens Savings Bank,268.0,294.0,100.0
307,ANCHOR BANK,3-0000028454,,,,
308,BANNER BANK,3-0000028489,Banner Bank,158.0,296.0,100.0
309,AMBLER SAVINGS BANK,3-0000028701,Ambler Savings Bank,71.0,363.0,100.0
310,NORTHFIELD SAVINGS BANK,3-0000028710,Northfield Savings Bank,839.0,298.0,100.0
311,GLEN ROCK SAVINGS BANK,3-0000028729,Glen Rock Savings Bank,517.0,299.0,100.0
312,SHARON SAVINGS BANK,3-0000028793,Sharon Savings Bank,1024.0,300.0,100.0
313,UNITED SAVINGS BANK,3-0000028836,United Savings Bank,1149.0,301.0,100.0
314,INVESTORS SAVINGS BANK,3-0000028892,Investors Savings Bank,639.0,303.0,100.0
315,GREAT SOUTHERN BANK,3-0000029546,Great Southern Bancorp Inc,527.0,306.0,100.0
316,"GREAT MIDWEST BANK, SSB",3-0000029657,Great Midwest Bank,526.0,307.0,83.40646355604264
317,LISLE SAVINGS BANK,3-0000029800,Lisle Savings Bank,701.0,308.0,100.0
318,NVE BANK,3-0000029875,NVE Bancorp,807.0,309.0,100.0
319,BOGOTA SAVINGS BANK,3-0000029941,Bogota Savings Bank,179.0,310.0,100.0
320,CITIZENS FIRST SAVINGS BANK,3-0000030005,Citizens Savings Bank,268.0,294.0,83.39332548221249
321,BOILING SPRINGS SAVINGS BANK,3-0000030052,Boiling Springs Savings Bank Inc,180.0,313.0,100.0
322,MARINE BANK,3-0000030187,Marine Bank,737.0,260.0,100.0
323,HOME SAVINGS BANK,3-0000030219,Home Savings & Loan Co,594.0,356.0,81.08241761897142
324,HUNTINGDON VALLEY BANK,3-0000030464,Huntingdon Valley Bank,610.0,386.0,100.0
325,Manasquan Savings Bank,3-0000030470,Manasquan Savings Bank,736.0,315.0,100.0
326,MAGYAR SAVINGS BANK,3-0000030704,,,,
327,DORAL BANK,3-0000032102,Doral Bank,347.0,318.0,100.0
328,HOMESTREET BANK,3-0000032489,Homestreet Inc,602.0,320.0,100.0
329,CENTENNIAL BANK,3-0000032707,Centennial Bank,241.0,321.0,100.0
330,EASTERN BANK,3-0000032773,Eastern Bank,367.0,322.0,100.0
331,COMMUNITY BANK & TRUST - ALABA,3-0000032968,,,,
332,GULF COAST BANK & TRUST CO.,3-0000032974,Gulf Coast Bank & Trust Co,542.0,323.0,100.0
333,CITIZENS FIRST BANK,3-0000033440,Citizens First Bank,266.0,324.0,100.0
