year,lender_id,lender_name
2004,3-0000030005,CITIZENS FIRST SAVINGS BANK
2004,3-0000030052,BOILING SPRINGS SAVINGS BANK
2004,3-0000030187,MARINE BANK
2004,3-0000030219,HOME SAVINGS BANK
2004,3-0000030270,CITIZENS SAVINGS BANK
2004,3-0000030464,HUNTINGDON VALLEY BANK
2004,3-0000030470,Manasquan Savings Bank
2004,3-0000030704,MAGYAR SAVINGS BANK
2004,3-0000032102,DORAL BANK
2004,3-0000032489,HOMESTREET BANK
2004,3-0000032707,CENTENNIAL BANK
2004,3-0000032773,EASTERN BANK
2004,3-0000032968,COMMUNITY BANK & TRUST - ALABA
2004,3-0000032974,GULF COAST BANK & TRUST CO.
2004,3-0000033009,COUNTY BANK
2004,3-0000033440,CITIZENS FIRST BANK
2004,3-0000033503,UNITY BANK
2004,3-0000033761,VILLAGE BANK
2004,3-0000033844,MOUNTAIN WEST BANK
2004,3-0000033963,SOUTH CENTRAL BANK
2004,3-0000034052,BAY BANK
2004,3-0000034090,AMERICAN ENTERPRISE BANK
2004,3-0000034172,PEOPLES BANK
2004,3-0000034238,ILLINOIS STATE BANK
2004,3-0000034311,CITIZENS FIRST BANK
2004,3-0000034452,CAPITAL BANK
2004,3-0000034491,VILLAGE BANK
2004,3-0000034618,MACATAWA BANK
2004,3-0000034728,INDEPENDENT BANK
2004,3-0000034803,RESOURCE BANK
2004,3-0000034842,GUARANTY BANK & TRUST COMPANY
2004,3-0000034866,RELIANCE BANK
2004,3-0000034946,MILLENNIUM BANK
2004,3-0000035022,CITIZENS FIRST BANK
2004,3-0000035076,HARTSVILLE COMMUNITY BANK
2004,3-0000035093,SOUTHERN HERITAGE BANK
2004,3-0000035123,RELIANCE BANK
2004,3-0000035132,RENASANT BANK OF TENNESSEE
2004,3-0000035333,OAK BANK
2004,3-0000035365,BANK OF OAK RIDGE
2004,3-0000035395,COUNTRY BANK
2004,3-0000035426,TWO RIVER COMMUNITY BANK
2004,3-0000035469,INTEGRITY BANK
2004,3-0000057072,ADVANTAGE BANK
2004,3-0000057212,FIRST CHOICE BANK
2004,3-0000057228,EMBASSY BANK FOR THE LEHIGH VA
2004,3-0000057282,CITIZENS BANK OF PENNSYLVANIA
2004,3-0000057312,TOWN & COUNTRY BANK
2004,3-0000057498,COUNTRY BANK
2004,3-0000057512,ALLIANCE BANK OF ARIZONA
2004,3-0000057525,RIVERVIEW COMMUNITY BANK
2004,3-0000057557,INTEGRITY BANK
2004,3-0000090141,The Provident Bank
2004,3-0000090160,HYDE PARK SAVINGS BANK
2004,3-0000090169,Bridgewater Savings Bank
2004,3-0000090173,EAST CAMBRIDGE SAVINGS BANK
2004,3-0000090181,CLINTON SAVINGS BANK
2004,3-0000090183,MIDDLESEX SAVINGS BANK
2004,3-0000090191,EAGLE BANK
2004,3-0000090250,INSTITUTION OF SAVINGS
2004,3-0000090270,RANDOLPH SAVINGS BANK
2004,3-0000090282,SPENCER SAVINGS BANK
2004,3-0000090303,SOUTH SHORE SAVINGS BANK
2004,3-33-0862379,"GREENPOINT CREDIT, LLC"
2004,4-0000000007,PIEDMONT FEDERAL S&L ASSN.
2004,4-0000000057,HOME FEDERAL SAVINGS AND LOAN
2004,4-0000000244,UNION FEDERAL SAVINGS & LOAN
2004,4-0000000450,PIONEER BANK
