,respondentname,hmda_id,advertiser_name,advertiser_id,match_index,score
2223,DIME SAVINGS BANK OF NORWICH,30000-0000018200,,,,
2224,FAIRFIELD COUNTY SAVINGS BANK,30000-0000018201,,,,
2225,ROCKVILLE BANK,30000-0000018203,Rockville Bank,977.0,237.0,100.0
2226,TOLLAND BANK,30000-0000018205,,,,
2227,FARMINGTON SAVINGS BANK,30000-0000018208,,,,
2228,LITCHFIELD BANCORP,30000-0000018209,,,,
2229,RIDGEFIELD BANK,30000-0000018213,,,,
2230,SAVINGS INSTITUTE,30000-0000018214,,,,
2231,COLLINSVILLE SAVINGS SOCIETY,30000-0000018223,,,,
2232,SOUTHINGTON SAVINGS BANK,30000-0000018226,,,,
2233,STAFFORD SAVINGS BANK,30000-0000018227,,,,
2234,NORTHWEST COMMUNITY BANK,30000-0000018229,,,,
2235,JEWETT CITY SAVINGS BANK,30000-0000018237,,,,
2236,CHELSEA GROTON SAVINGS BANK,30000-0000018238,,,,
2237,SUPERIOR SAVINGS OF NEW ENGLAN,30000-0000018244,,,,
2238,AMERICAN SAVINGS BANK,30000-0000018246,,,,
2239,THOMASTON SAVINGS BANK,30000-0000018258,Thomaston Savings Bank,1099.0,241.0,100.0
2240,NEW MIL BANK,30000-0000018259,,,,
2241,NEW HAVEN SAVINGS BANK,30000-0000018261,,,,
2242,NORTHERN BANK & TRUST CO,30000-0000018266,Northern Trust Corp,838.0,91.0,96.8309062712851
2243,ARKANSAS STATE BANK,30000-0000018277,,,,
2244,NORTH DALLAS BANK & TRUST CO.,30000-0000018355,,,,
2245,COULEE STATE BANK,30000-0000018361,,,,
2246,BANK OF LATAH,30000-0000018379,,,,
2247,RANCHERS BANKS,30000-0000018386,,,,
2248,WESTERN COMMERCE BANK,30000-0000018389,,,,
2249,MID-STATE BANK,30000-0000018396,,,,
2250,GREATER CHICAGO BANK,30000-0000018407,,,,
2251,BANGOR SAVINGS BANK,30000-0000018408,Bangor Savings Bank,136.0,242.0,100.0
2252,FIRST BANK OF WEST TEXAS,30000-0000018411,,,,
2253,WHIDBEY ISLAND BANK,30000-0000018412,,,,
2254,MORTON COMMUNITY BANK,30000-0000018429,,,,
2255,TOWN & COUNTRY BANK,30000-0000018487,Town & Country Bank,1107.0,243.0,100.0
2256,OAK BROOK BANK,30000-0000018498,,,,
2257,CATHAY BANK,30000-0000018503,,,,
2258,WEST SUBURBAN BANK,30000-0000018509,West Suburban Bank,1206.0,244.0,100.0
2259,FIRST SERVICE BANK,30000-0000018519,First Service Bank,461.0,245.0,100.0
2260,METCALF BANK,30000-0000018531,,,,
2261,PARK WEST BANK AND TRUST COMPA,30000-0000018532,,,,
2262,ALPINE BANK OF ILLINOIS,30000-0000018545,,,,
2263,CITIZENS BANK OF MASSACHUSETTS,30000-0000018562,,,,
