,respondentname,hmda_id,advertiser,advertiser_id,score
89412,CHAMPION COMMUNITY CREDIT UNIO,5-0000063614,,,
89427,1ST MIDAMERICA CREDIT UNION,5-0000063932,,,
89454,PYRAMID FEDERAL CREDIT UNION,5-0000064370,Pyramid Federal Credit Union,98957,100
89465,ILWU CU,5-0000064546,,,
89469,NORTHERN COMMUNITIES CU,5-0000064655,Northern Communities Credit Union,95080,82.04401895
89488,GAS & ELECTRIC CREDIT UNION,5-0000065003,,,
89489,HEALTHCARE FIRST CREDT UNION,5-0000065013,Healthcare First Credit Union,125120,97.9321116
89497,ENVISTA CREDIT UNION,5-0000065282,Envista Credit Union,147166,100
89500,UNITED HEALTH CREDIT UNION,5-0000065323,United Heritage Credit Union,43913,85.90152047
89513,CSE CREDIT UNION  INC,5-0000065728,,,
89514,CATHOLIC & COMMUNITY CREDIT UN,5-0000065735,Catholic & Community Credit Union,101844,95.03695066
89527,TRUMARK FIANCIAL CREDIT UNION,5-0000066158,TruMark Financial Credit Union,34440,97.78986692
89532,WEYCO COMMUNITY CREDIT UNION,5-0000066324,Weyco Community Credit Union,110846,100
89542,SALAL CREDIT UNION,5-0000066349,Salal Credit Union,99278,100
89549,NMTW COMMUNITY CREDIT UNION,5-0000066365,NMTW Community Credit Union,94895,100
89555,TAYLOR CREDIT UNION,5-0000066388,,,
89567,GOVERNMENTAL EMPLOYEES CREDIT,5-0000066529,Government Employees Credit Union,93540,85.76004313
89627,RICHMOND POSTAL CREDIT UNION,5-0000066929,,,
89638,NORTHEAST COMMUNITY CREDIT U,5-0000067021,Northwest Community Credit Union,11949,87.65272606
89645,FOND DU LAC CREDIT UNION,5-0000067176,Fond Du Lac Credit Union,27614,100
89653,THE STATE CREDIT UNION,5-0000067222,UP State Credit Union,203259,87.55420591
89666,JAX POSTAL & PROF CR UN,5-0000067298,,,
89667,FL DEPT OF TRANSPORTATION CU,5-0000067300,,,
89671,MIAMI POSTAL SERVICE CR UNION,5-0000067330,MPS Credit Union,37771,92.75845111
89674,INSIGHT CREDIT UNION,5-0000067344,Insight Credit Union,93946,100
89678,CGR CREDIT UNION,5-0000067367,GE Credit Union,46220,82.42919117
89681,GEORGIA'S OWN CREDIT  UNION,5-0000067390,,,
