,respondentname,hmda_id,advertiser,advertiser_id,score
3309,SCHWEGMANN BANK & TRUST CO.,30000-0000025139,,,
3310,WESTERN BANK OF CHEYENNE,30000-0000025154,,,
3311,"FINANCE FACTORS, LTD.",30000-0000025158,,,
3312,"BANK OF AMERICA, COMM DEV BANK",30000-0000025178,,,
3313,RUSHMORE BANK & TRUST,30000-0000025259,,,
3315,FIRST CENTRAL BANK,30000-0000025268,First Central State Bank,74094,85.20425123
3317,FIRST COMMERCIAL BK HUNTSVILLE,30000-0000025645,,,
3319,FREMONT INVESTMENT & LOAN,30000-0000025653,Fremont Investment & Loan Bank,1673,100
3321,CHEYENNE MOUNTAIN BANK,30000-0000025719,,,
3322,MURPHY BANK,30000-0000025726,,,
3323,FIRSTPLUS BANK,30000-0000025727,First US Bank,147661,85.29546283
3325,PEOPLES BANK & TRUST,30000-0000025795,Peoples Bank & Trust Co,33718,81.32017454
3326,CB&T OF MIDDLE GEORGIA,30000-0000025804,,,
3327,FIRST COLONY BANK,30000-0000025847,,,
3328,METROPOLITAN BANK,30000-0000025869,,,
3329,FINANCE AND THRIFT COMPANY,30000-0000025870,,,
3330,CORNERSTONE BANK,30000-0000026006,Cornerstone Bank,1043,100
3331,FIRST FIDELITY INVESTMENT & LN,30000-0000026014,,,
3332,SOUTH COAST COMMERCIAL BANK,30000-0000026015,,,
3335,CAPITOL THRIFT AND LOAN,30000-0000026244,,,
3336,FIRST COUNTIES BANK,30000-0000026250,,,
3337,CORNERSTONE COMMUNITY BANK,30000-0000026256,,,
3338,FIRST SAFETY BANK,30000-0000026263,,,
3339,OAKS BANK & TRUST COMPANY,30000-0000026264,Acclaim,46162,85.19600958
3340,NORCROWN BANK,30000-0000026267,Crown Bank,1090,81.40001885
3341,HOME BANK OF CALIFORNIA,30000-0000026271,,,
3342,"STATE BANK & TRUST CO., DALLAS",30000-0000026283,State Bank & Trust Co,89865,86.57449762
3343,FIRSTBANK OF LITTLETON,30000-0000026295,,,
3345,AUBURNDALE CO-OPERATIVE BANK,30000-0000026336,,,
3346,IMPERIAL CAPITAL BANK,30000-0000026348,,,
3347,STATE BANK OF SOUTHWEST MO,30000-0000026358,State Bank Northwest,179502,82.83119025
3348,FIRST COMMERCIAL BK BIRMINGHAM,30000-0000026359,,,
3349,COMMUNITY COMMERCE BANK,30000-0000026363,,,
3350,ATLANTIC STEWARDSHIP BANK,30000-0000026390,Atlantic Stewardship Bank,328,100
3351,PITTSFIELD COOPERATIVE BANK,30000-0000026393,Pittsfield Cooperative Bank,79953,100
3352,FRAMINGHAM COOPERATIVE BANK,30000-0000026395,,,
3354,BANK OF IDAHO,30000-0000026403,,,
3355,HAVERHILL CO-OPERATIVE BANK,30000-0000026411,,,
3356,EVERETT CO-OPERATIVE BANK,30000-0000026444,,,
3357,SHARON CO-OPERATIVE BANK,30000-0000026446,Sharon Co-Operative Bank,25107,100
3358,MANSFIELD CO-OPERATIVE BANK,30000-0000026448,Pittsfield Cooperative Bank,79953,82.04761049
3359,TELECOM COOPERATIVE BANK,30000-0000026449,Salem Co-Operative Bank,99280,82.81062656
3360,CANTON CO-OPERATIVE BANK,30000-0000026450,Canton Co-Operative Bank,91940,100
3361,FIDELITY CO-OPERATIVE BANK,30000-0000026451,,,
3362,IPSWICH CO-OPERATIVE BANK,30000-0000026452,,,
3363,EQUITABLE CO-OPERATIVE BANK,30000-0000026453,Equitable Co-Op Bank,36460,100
3364,NORTHAMPTON CO-OPERATIVE BANK,30000-0000026454,Northampton Co-Operative Bank,66579,100
3365,SAVERS CO-OPERATIVE BANK,30000-0000026455,Salem Co-Operative Bank,99280,85.97984287
3368,LOWELL CO-OPERATIVE BANK,30000-0000026467,,,
3369,BANK OF MARYLAND,30000-0000026477,,,
3370,FIRST SIGNATURE BANK & TRUST,30000-0000026479,,,
3371,GREAT FALLS BANK,30000-0000026480,,,
3372,THE NEEDHAM CO-OPERATIVE BANK,30000-0000026483,Stonehambank,8428,83.08459678
3373,NORTH SHORE BANK,30000-0000026484,North Shore Bank,2811,100
3374,NEWTON SOUTH CO-OP BANK,30000-0000026485,,,
3375,UNITED COOPERATIVE BANK,30000-0000026486,United Cooperative Bank,16928,100
3376,WALPOLE CO-OPERATIVE BANK,30000-0000026487,Walpole Co-Op Bank,90528,100
3377,AMERICAN BANK OF CONNECTICUT,30000-0000026498,,,
3378,CREDITAMERICA SAVINGS COMPANY,30000-0000026499,,,
3379,MARLBOROUGH CO-OPERATIVE BANK,30000-0000026510,,,
3380,MELROSE COOPERATIVE BANK,30000-0000026511,Melrose Cooperative Bank,2538,100
3381,METHUEN CO-OPERATIVE BANK,30000-0000026512,Methuen Co-Op Bank,75450,100
3382,STOUGHTON CO-OPERATIVE BANK,30000-0000026513,,,
3383,HERITAGE CO-OPERATIVE BANK,30000-0000026514,,,
3384,WAKEFIELD CO-OPERATIVE BANK,30000-0000026516,Greenfield Cooperative Bank,93573,82.63104808
3385,CAPE COD CO-OPERATIVE BANK,30000-0000026517,Cape Cod Co-Op Bank,91944,100
3387,GLOUCESTER COOPERATIVE BANK,30000-0000026536,Winchester Co-Operative Bank,100460,80.12522814
3388,BROOKLINE CO-OPERATIVE BANK,30000-0000026537,,,
3389,NORTH ABINGTON COOP BANK,30000-0000026549,,,
3390,BANK OF FALL RIVER,30000-0000026551,,,
3391,MT. WASHINGTON COOPERATIVE,30000-0000026552,,,
3392,MAYFLOWER COOPERATIVE BANK,30000-0000026553,,,
3393,EASTON COOPERATIVE BANK,30000-0000026554,Sharon Co-Operative Bank,25107,82.54323103
3394,NORWOOD COOPERATIVE BANK,30000-0000026555,,,
3395,COLONIAL CO-OPERATIVE BANK,30000-0000026556,,,
3396,STONEHAM CO-OPERATIVE BANK,30000-0000026559,Stonehambank,8428,100
3397,MANUFACTURERS BANK OF FLORIDA,30000-0000026560,,,
3398,PENINSULA BANK,30000-0000026563,Mid-Peninsula Bank,2585,84.77147935
3399,NORTH CAMBRIDGE COOPERATIVE BA,30000-0000026567,,,
3400,ADAMS CO-OPERATIVE BANK,30000-0000026568,Adams Co-Operative Bank,100744,100
3401,MASSACHUSETTS COOPERATIVE BANK,30000-0000026569,,,
3402,THE BRAINTREE CO-OPERATIVE BAN,30000-0000026570,Braintree Cooperative Bank,72787,97.95373181
3403,MEDFORD CO-OPERATIVE BANK,30000-0000026572,,,
3404,SAUGUSBANK,30000-0000026574,,,
3405,SOUTH SHORE CO-OPERATIVE BANK,30000-0000026575,,,
3406,WRENTHAM CO-OPERATIVE BANK,30000-0000026576,Stonehambank,8428,82.65879967
3407,PREMIER COMMUNITY BANK OF FL,30000-0000026587,,,
3408,PILGRIM CO-OPERATIVE BANK,30000-0000026590,,,
3409,WEYMOUTH CO-OPERATIVE BANK,30000-0000026591,,,
3410,THE BANK & TRUST OF PUERTO RIC,30000-0000026592,,,
3411,COMMONWEALTH CO-OPERATIVE BANK,30000-0000026593,,,
3412,WARE CO-OPERATIVE BANK,30000-0000026594,Sharon Co-Operative Bank,25107,81.35884557
3413,HOLBROOK CO-OPERATIVE BANK,30000-0000026600,,,
3414,BEVERLY CO-OPERATIVE BANK,30000-0000026601,Beverly Co-Operative Bank,26506,100
3415,MEDWAY CO-OPERATIVE BANK,30000-0000026602,,,
3416,WELLESLEY CO-OPERATIVE BANK,30000-0000026605,,,
3417,SOUTH ALABAMA BANK,30000-0000026607,,,
3418,GOLDEN SECURITY BANK,30000-0000026615,,,
3419,AVON COOPERATIVE BANK,30000-0000026617,Avon Co-Operative Bank,72403,100
3420,BUTLER BANK,30000-0000026619,,,
3421,READING CO-OPERATIVE BANK,30000-0000026620,Reading Cooperative Bank,16327,100
3423,MECHANICS' CO-OPERATIVE BANK,30000-0000026634,Mechanics Coop Bank,75418,100
3424,FIRSTBANK NORTH,30000-0000026635,,,
3425,CENTRAL COOPERATIVE BANK,30000-0000026646,Central Cooperative Bank,101873,100
3426,FIRSTRUST BANK,30000-0000026647,Firstrust Bank,1618,100
3427,FIRSTBANK OF CHERRY CREEK,30000-0000026649,,,
3428,GEORGIA STATE BANK,30000-0000026651,Path2College 529 Plan,19057,82.52576447
3430,HERITAGE BANK OF NORTH FLORIDA,30000-0000026680,,,
3432,BALBOA THRIFT AND LOAN,30000-0000026704,,,
3433,REGENT BANK,30000-0000026713,Regent Bank,33915,100
3434,EUROBANK,30000-0000026725,Eurobank,1339,100
3435,THE EXPRESS BANK,30000-0000026769,,,
3436,PASADENA STATE BANK,30000-0000026788,,,
3437,HOME CREDIT BANK,30000-0000026798,,,
3438,EVABANK,30000-0000026799,,,
3439,CAROLINA FIRST BANK,30000-0000026849,,,
3440,GLOUCESTER BANK & TRUST COMPAN,30000-0000026884,,,
3441,WESTBANK,30000-0000026896,,,
3442,THE BANK OF SOUTH CAROLINA,30000-0000026912,,,
3444,THE COOPERATIVE BANK,30000-0000026922,Avon Co-Operative Bank,72403,80.5543814
3445,BANK OF WESTERN MASS,30000-0000026942,Bank Of Western MA,54331,90.97843822
3447,RIVERSIDE BANK,30000-0000026951,Riverside Bank,16371,100
3448,WILSON BANK & TRUST,30000-0000026962,Wilson Bank & Trust,34831,100
3449,"FIRST BANK, CBC",30000-0000026974,,,
3450,FIRST AMERICAN BANK OF WALTON,30000-0000026979,First American Bank Of Alabama,10492,86.94978808
3451,AMERICAN CHARTERED BANK,30000-0000027006,American Chartered Bank,215,86.82302003
3452,LOS ROBLES BANK,30000-0000027008,,,
3453,WAINWRIGHT BANK & TRUST CO.,30000-0000027009,,,
3455,SECURITY BANK OF HOUSTON COUNT,30000-0000027048,,,
3456,CLOVER COMMUNITY BANK,30000-0000027055,,,
3457,CITIZENS & MERCHANTS STATE BK,30000-0000027056,,,
3458,CEDARS BANK,30000-0000027069,,,
3459,EVERETT MUTUAL BANK,30000-0000027070,Everett Mutual Bank,1342,81.78603839
3461,FIRST COAST COMMUNITY BANK,30000-0000027075,,,
3462,FIRST AMERICAN BANK & TRUST,30000-0000027078,First American Bank & Trust,135936,100
3463,CHARLOTTE STATE BANK,30000-0000027086,Charlotte State Bank & Trust,214171,87.51574133
3464,VALENCIA BANK & TRUST,30000-0000027091,,,
3465,SOUTHERN PACIFIC BANK,30000-0000027094,Southern Pacific Bank,25162,100
3467,NORTHMARK BANK,30000-0000027119,,,
3468,BANK ATLANTA,30000-0000027122,,,
3469,FLAGSHIP BANK & TRUST COMPANY,30000-0000027134,,,
3470,THE HERNANDO COUNTY BANK,30000-0000027135,,,
3471,HORRY COUNTY STATE BANK,30000-0000027139,Horry County State Bank,84203,100
3472,VBANK,30000-0000027148,Bancorp Bank,26351,81.78312437
3473,EUROBANK - MORTGAGE DEPARTMENT,30000-0000027150,,,
3475,BERGEN COMMERCIAL BANK,30000-0000027180,,,
3476,CAPITAL CROSSING BANK,30000-0000027184,Capital Crossing Bank,807,100
3477,FIRST STATE BANK OF PINELLAS,30000-0000027186,First State Bank Of IL,18906,86.35889245
3478,GATEWAY AMERICAN BANK,30000-0000027193,,,
3479,ENGLEWOOD BANK,30000-0000027205,,,
3480,THE BANK OF TUSCALOOSA,30000-0000027209,,,
3482,FIRSTBANK OF DENVER,30000-0000027225,,,
3484,DEDHAM CO-OPERATIVE BANK,30000-0000027232,Stonehambank,8428,80.30713135
3486,STAR FINANCIAL BANK,30000-0000027235,Grabill Bank,74759,83.03785211
3487,PORTAGE COMMERCE BANK,30000-0000027236,,,
3489,WINCHESTER COOPERATIVE BANK,30000-0000027238,Winchester Co-Operative Bank,100460,100
3490,"CITIZENS BANK (KENTUCKY), INC.",30000-0000027240,,,
3491,THE COLUMBIA BANK,30000-0000027244,Columbia Bank,976,100
3492,SONOMA VALLEY BANK,30000-0000027259,,,
3493,AMERASIA BANK,30000-0000027267,America Bank,204071,82.6850434
3494,DEAN COOPERATIVE BANK,30000-0000027269,Sharon Co-Operative Bank,25107,81.12212554
3495,DAMASCUS COMMUNITY BANK,30000-0000027280,,,
3496,REPUBLIC BANK OF NORMAN,30000-0000027286,,,
3497,COMMERCIAL BANK OF NEW YORK,30000-0000027292,Commercial Bank Of New York,723,85.03170181
3498,ATHOL-CLINTON CO-OP BANK,30000-0000027293,,,
3499,WALTON BANK & TRUST CO.,30000-0000027313,,,
3501,MERCANTILE BANK & TRUST CO,30000-0000027335,,,
3502,FIRSTBANK OF ARAPAHOE COUNTY,30000-0000027336,,,
3503,CALIFORNIA CHOHUNG BANK,30000-0000027338,,,
3505,PRAIRIE STATE BANK & TRUST,30000-0000027362,,,
3507,CENTURY SOUTH BANK OF ALABAMA,30000-0000027365,,,
3508,SECURITY BANK OF BIBB COUNTY,30000-0000027367,,,
3509,MERRILL LYNCH BANK USA,30000-0000027374,,,
3510,VINE STREET TRUST COMPAY,30000-0000027375,,,
3511,FIRST METRO BANK,30000-0000027381,,,
3512,PORT RICHMOND SAVINGS,30000-0000027385,,,
3515,PUTNAM STATE BANK,30000-0000027405,Putnam State Bank,109295,100
3516,ENTERPRISE BANK AND TRUST COMP,30000-0000027408,,,
3518,GREER STATE BANK,30000-0000027413,Greer State Bank,55910,100
3519,FIRST BANK OF GEORGIA,30000-0000027423,First Bank Of GA,83553,81.42160037
3520,CHARTER BANK & TRUST,30000-0000027440,Carter Bank & Trust,112246,94.56303036
3521,FOSTER BANK,30000-0000027447,,,
3522,HOME SECURITY BANK,30000-0000027449,,,
3523,SEQUOIABANK,30000-0000027454,,,
3524,COMMUNITY BANK OF MARYLAND,30000-0000027473,,,
3525,BANK OF WALTERBORO,30000-0000027496,Bank Of Waterboro,134222,94.50969309
3532,CAROLINA SOUTHERN BANK,30000-0000027527,,,
3534,VALRICO STATE BANK,30000-0000027536,,,
3536,1ST CONSTITUTION BANK,30000-0000027552,,,
3537,MD PERMANENT BANK & TRUST CO.,30000-0000027555,,,
3538,BURLING BANK,30000-0000027556,Burling Bank,26561,100
3539,CRESCENT BANK AND TRUST,30000-0000027559,,,
3540,NORTH ALABAMA BANK,30000-0000027560,,,
3541,GLEN BURNIE MUTUAL SAVINGS BAN,30000-0000027567,,,
3542,GEORGIA BK & TR CO OF AUGUSTA,30000-0000027574,,,
3543,FIRST COMMERCIAL BANK OF TAMPA,30000-0000027583,First Commercial Bank,1527,86.8489862
3544,INLAND NORTHWEST BANK,30000-0000027601,,,
3545,THE BANK OF BLOOMFIELD HILLS,30000-0000027602,,,
3546,TRI-STATE BANK & TRUST,30000-0000027611,First State Bank & Trust,1603,81.03334533
3547,THE BANK OF GLOUCESTER COUNTY,30000-0000027614,,,
3548,PEOPLES HOME SAVINGS BANK,30000-0000027707,Peoples Savings & Loan Bank,131299,80.15437577
3549,ALTOONA FIRST SAVINGS BANK,30000-0000027711,Altoona First Savings Bank,17457,100
3551,MUTUAL SAVINGS BANK,30000-0000027742,,,
3552,STANDARD BANK PASB,30000-0000027757,Standard Bank,80595,80.72098307
3553,WEST VIEW SAVINGS BANK,30000-0000027760,,,
3555,LENOX SAVINGS BANK,30000-0000027802,,,
3556,INDEPENDENT BANK MSB,30000-0000027811,Independent Bank,2022,88.92670731
3559,ABINGTON BANK,30000-0000027942,,,
3560,BRENTWOOD BANK,30000-0000027943,,,
3561,LAUREL SAVINGS BANK,30000-0000027956,,,
3562,TOWNE BANK,30000-0000028009,Towne Bank,8589,100
3563,FIDELITY SVG BK,30000-0000028038,,,
3564,"JACKSONVILLE SAVINGS BANK,SSB",30000-0000028066,,,
3565,ROYAL SAVINGS BANK,30000-0000028068,Rome Savings Bank,70835,80.98242381
3566,IBERIA BANK,30000-0000028100,,,
3567,SECURITY SAVINGS BANK,30000-0000028139,Security Savings Bank,8182,87.42120811
3568,FIRST EAST SIDE SAVINGS BANK,30000-0000028144,,,
3569,WEST TOWN SAVINGS BANK,30000-0000028151,Watertown Savings Bank,8914,80.29832663
3570,KEYSTONE SAVINGS BANK,30000-0000028166,,,
3571,NORTHWEST SAVINGS BANK,30000-0000028178,,,
3572,NORTH AKRON SAVINGS BANK,30000-0000028179,North Akron Savings Bank,11926,100
3573,AUDUBON SAVINGS BANK,30000-0000028191,,,
3574,HADDON SAVINGS BANK,30000-0000028222,Haddon Savings Bank,1856,100
3575,ATHENS FIRST BANK & TRUST CO.,30000-0000028225,,,
3576,"WAUKEGAN SAVINGS AND LOAN, SB",30000-0000028243,Waukegan Savings Bank,81283,80.4903828
3578,FIRSTBANK NORTHWEST,30000-0000028351,FirstBank Southwest,171454,87.81132531
3579,LBA SAVINGS BANK,30000-0000028361,Luana Savings Bank,94408,83.9726235
3580,MARIETTA SAVINGS BANK,30000-0000028363,,,
3581,CAPE SAVINGS BANK,30000-0000028395,Cape Ann Savings Bank,45191,86.66521667
3582,WEST BEND SAVINGS BANK,30000-0000028400,,,
3583,"MORRIS BUILDING AND LOAN, S.B.",30000-0000028427,,,
3585,TIMBERLAND BANK,30000-0000028453,Cumberland Bank Of Hendersonville,55023,82.87289563
3586,ANCHOR SAVINGS BANK,30000-0000028454,Bangor Savings Bank,26357,84.88740645
3587,BANNER BANK,30000-0000028489,Banner Bank,9651,100
3588,WAUWATOSA SAVINGS BANK,30000-0000028513,,,
3589,"CUERO STATE BANK, S.S.B.",30000-0000028515,,,
3590,HARTFORD SAVINGS BANK,30000-0000028531,,,
3591,VALLEY CENTRAL SAVINGS BANK,30000-0000028555,,,
3592,ROSELLE SAVINGS BANK,30000-0000028567,Roselle Savings Bank,8154,100
3593,STURGIS BANK & TRUST CO.,30000-0000028593,State Bank & Trust Co,89865,80.47253169
3594,PULASKI SAVINGS BANK,30000-0000028611,,,
3595,MARITIME SAVINGS BANK,30000-0000028612,Maine Savings Bank,104432,83.57485751
3596,"THE EQUITABLE BANK, S.S.B.",30000-0000028614,Equitable Bank,27252,84.67099512
3597,RIDGEWOOD SVG BANK NJ,30000-0000028632,Ridgewood Savings Bank,8137,81.46510694
3598,HOMESTEAD SAVINGS BANK,30000-0000028667,,,
3600,CONNEAUT SAVINGS BANK,30000-0000028677,Conneaut Savings Bank,92330,100
3601,GSL SAVINGS BANK,30000-0000028708,C&G Savings Bank,44992,83.40094109
3602,NORTHFIELD SAVINGS BANK,30000-0000028710,Northfield Savings Bank,11942,100
3603,GLEN ROCK SAVINGS BANK,30000-0000028729,Glen Rock Savings Bank,1763,100
3604,HOYNE SAVINGS BANK,30000-0000028747,Rome Savings Bank,70835,80.88339364
3605,STURDY SAVINGS BANK,30000-0000028788,,,
3606,SUPERIOR SAVINGS BANK,30000-0000028790,,,
3607,SHARON SAVINGS BANK,30000-0000028793,Sharon Savings Bank,16521,100
3608,UNITED SAVINGS BANK,30000-0000028836,United Savings Bank,8759,100
3609,COMMUNITY SAVINGS BANK,30000-0000028841,Community Savings Bank,1013,100
3610,ORITANI SAVINGS BANK,30000-0000028866,,,
3611,MITCHELL SAVINGS BANK,30000-0000028878,,,
3612,INVESTORS SAVINGS BANK,30000-0000028892,Investors Savings Bank,2091,100
3613,IRON WORKERS SAVINGS BANK,30000-0000028908,,,
3614,COMMUNITY BANK OF SOUTHERN IND,30000-0000028915,,,
3615,HARVARD SAVINGS BANK,30000-0000028938,,,
3616,LIBERTY BANK FOR SAVINGS,30000-0000029009,Liberty Bank For Savings,184537,100
3618,HERITAGE SAVINGS BANK,30000-0000029012,,,
3619,FIRST SAVINGS BANK OF RENTON,30000-0000029058,First Savings Bank,1597,83.37417325
3620,"TARBORO SAVINGS BANK, SSB",30000-0000029061,,,
3622,COMMUNITY BANK OF CENTRAL TEXA,30000-0000029079,,,
3623,PYRAMAX BANK,30000-0000029120,PyraMax Bank,8035,100
3625,UNITED ROOSEVELT SAVINGS BANK,30000-0000029170,,,
3626,"HERITAGE SAVINGS BANK, SSB",30000-0000029209,,,
3629,POTTERS BANK,30000-0000029431,,,
3630,PENNVIEW SAVINGS BANK,30000-0000029480,,,
3631,"LEDGER BANK, SSB",30000-0000029503,,,
3632,PEOPLES BANK SB,30000-0000029523,Peoples Bank,7909,88.34959427
3633,GREAT SOUTHERN BANK,30000-0000029546,Great Northern Bank,1788,88.91903291
3635,FIRST COMMUNITY BANK & TRUST,30000-0000029596,Community Bank & Trust,1005,81.24837712
3636,ELGIN FINANCIAL SAVINGS BANK,30000-0000029612,Bay Financial Savings Bank,551,82.02437988
3637,GREAT MIDWEST BANK S.S.B.,30000-0000029657,Great Midwest Bank,1787,88.16739683
3638,"ASHEVILLE SAVINGS BANK, S.S.B.",30000-0000029663,,,
3639,MARATHON SAVINGS BANK,30000-0000029745,,,
3640,KS BANK,30000-0000029771,M&S Bank,149042,81.03839768
3641,GREAT VALLEY BANK,30000-0000029773,,,
3642,FIRST BANK OF THE AMERICAS SSB,30000-0000029791,First Bank Of/Americas,64933,89.67979509
3643,LISLE SAVINGS BANK,30000-0000029800,Lisle Savings Bank,2353,100
3644,FIRST SAVINGS BANK HEGEWISCH,30000-0000029809,,,
3645,GRIFFITH SAVINGS BANK,30000-0000029816,,,
3646,THE CITIZENS BANK OF LONDON,30000-0000029864,,,
3647,MOORESVILLE SAVINGS BANK,30000-0000029873,Coatesville Savings Bank,966,84.79344989
3648,NVE BANK,30000-0000029875,,,
3650,CLASSIC BANK,30000-0000029884,,,
3651,LINCOLN COMMUNITY BANK,30000-0000029939,Lincolnway Community Bank,46993,90.91324118
3652,BOGOTA SAVINGS BANK,30000-0000029941,Bogota Savings Bank,611,100
3653,BANK WEST,30000-0000029951,,,
3654,GEORGE WASHINGTON SAVINGS BANK,30000-0000029952,,,
3655,UNION BUILDING AND LOAN SAVING,30000-0000029967,Union Building & Loan Savings Bank,53301,88.13783038
3656,"GUARANTY BANK, SSB",30000-0000030003,,,
3657,CITIZENS FIRST SAVINGS BANK,30000-0000030005,Citizens Savings Bank,45352,86.40389306
3658,MILLINGTON SAVINGS BANK,30000-0000030022,Clinton Savings Bank,18236,84.02944071
3660,HAVEN SAVINGS BANK,30000-0000030039,,,
3661,BOILING SPRINGS SAVINGS BANK,30000-0000030052,Boiling Springs Savings Bank,612,93.90764151
3662,SCHUYLER SAVINGS BANK,30000-0000030072,,,
3663,COATESVILLE SAVINGS BANK,30000-0000030085,Coatesville Savings Bank,966,100
3664,METUCHEN SAVINGS BANK,30000-0000030099,,,
3665,RELIANCE SAVINGS BANK,30000-0000030117,,,
3666,MUTUAL COMMUNITY SAVINGS BANK,30000-0000030118,Community Savings Bank,1013,80.3885525
3667,C & G SAVINGS BANK,30000-0000030119,C&G Savings Bank,44992,94.3887313
3668,INVESTMENT SAVINGS BANK,30000-0000030121,Investment Savings Bank,37380,100
3669,SEWICKLEY SAVINGS BANK,30000-0000030154,,,
3670,MARINE BANK ATTN: CAROL MERTIN,30000-0000030187,,,
3671,BANKPITTSBURGH,30000-0000030197,,,
3672,HOME SAVINGS BANK,30000-0000030219,Rome Savings Bank,70835,92.45428183
3673,PARKVALE BANK,30000-0000030237,,,
3674,WESTWOOD HOMESTEAD SAVINGS BAN,30000-0000030239,,,
3676,FIRST SAVINGS BANK,30000-0000030255,First Savings Bank,1597,100
3678,PERPETUAL SAVINGS BANK,30000-0000030281,,,
3679,"CLOVER LEAF BANK, SB",30000-0000030282,,,
3680,EQUALITY SAVINGS BANK,30000-0000030286,,,
3681,FIRSTBANK PUERTO RICO,30000-0000030387,,,
3682,FIRST SAVINGS BANK OF PERKASIE,30000-0000030401,First Savings Bank,1597,80.31684269
3683,CENTURY SAVINGS BANK,30000-0000030428,Century Savings Bank,92079,100
3684,"FIRSTCAPITAL BANK, SSB",30000-0000030448,,,
3685,MANASQUAN SAVINGS BANK,30000-0000030470,Manasquan Savings Bank,11634,100
3686,MARQUETTE SAVINGS BANK,30000-0000030544,Marquette Savings Bank,66217,100
3687,"SOUTH END SAVINGS, S.B.",30000-0000030568,,,
3688,"RANTOUL FIRST BANK,S.B.",30000-0000030590,,,
3689,LINCOLN PARK SAVINGS BANK,30000-0000030600,,,
3690,GREENVILLE SAVINGS BANK,30000-0000030637,,,
3691,VALLEY SAVINGS BANK,30000-0000030693,Fox Valley Savings Bank,83773,84.91452843
3692,"ORANGE SAVINGS BANK,SSB",30000-0000030696,,,
3693,MAGYAR SAVINGS BANK,30000-0000030704,,,
3694,BELPRE SAVINGS BANK,30000-0000030744,,,
3695,COASTAL BANC SSB,30000-0000030757,Coastal Banc,963,83.27892801
3696,PEKIN SAVINGS BANK,30000-0000030775,First Pekin Savings Bank,205887,80.34895611
3698,MCHENRY SAVINGS BANK,30000-0000030864,Century Savings Bank,92079,82.78736094
3699,PACIFIC NORTHWEST BANK,30000-0000030887,,,
3700,HOWARD SAVINGS BANK,30000-0000030919,,,
3701,HOME SAVINGS INC SSB,30000-0000031012,,,
3702,WESTERNBANK PUERTO RICO,30000-0000031027,,,
3703,CENTRALIA SAVINGS BANK,30000-0000031048,,,
3705,CABARRUS BANK OF NORTH CAROLIN,30000-0000031161,,,
3706,BANK OF NORTH GEORGIA,30000-0000031203,,,
3707,KEY BANK AND TRUST,30000-0000031263,,,
3708,1ST MARINER BANK,30000-0000031286,1st Mariner Bank,1562,82.54314039
3709,THE UNION BANK OF BRYANT,30000-0000031357,,,
3710,TREMONT SAVINGS BANK,30000-0000031369,,,
3711,HARLEYSVILLE SAVINGS BANK,30000-0000031461,Coatesville Savings Bank,966,80.16674112
3712,ORIENTAL BANK & TRUST,30000-0000031469,,,
3713,FIRST STAR SAVINGS BANK,30000-0000031595,First Trust & Savings Bank,136117,87.38766891
3714,EAST WEST BANK,30000-0000031628,,,
3715,CAROLINE SAVINGS BANK,30000-0000031673,Maine Savings Bank,104432,81.61160607
3717,"BALCONES BANK, S.S.B.",30000-0000032004,,,
3718,FIRST BANK OF CALIFORNIA,30000-0000032036,,,
3720,DORAL BANK,30000-0000032102,Doral Bank,1230,100
3721,VOYAGER BANK,30000-0000032173,Voyager Bank,53434,100
3722,RG PREMIER BANK,30000-0000032185,,,
3723,OAKLAND COMMERCE BANK,30000-0000032195,,,
3724,SUMMIT STATE BANK AKA SUMMIT S,30000-0000032203,,,
3725,PALOMAR COMMUNITY BANK,30000-0000032226,,,
3726,EASTERN INTERNATIONAL BANK,30000-0000032277,,,
3727,COLUMBIA SAVINGS,30000-0000032284,Columbia Savings,977,100
3728,GEAUGA SAVINGS BANK,30000-0000032287,,,
3729,DESTIN BANK,30000-0000032321,,,
3730,ST. CASIMIRS SAVINGS BANK,30000-0000032327,,,
3731,"TAYLORSVILLE SAVINGS BANK, SSB",30000-0000032348,,,
3732,ROWAN SAVINGS BANK SSB INC,30000-0000032355,,,
3733,BANK OF THE CAROLINAS,30000-0000032366,Bank Caroline,421,84.90314387
3734,REGAL BANK AND TRUST,30000-0000032370,,,
3736,"LIBERTY BANK, SSB",30000-0000032466,Liberty Bank MN,206862,81.29731823
3737,UNITED COMMERCIAL BANK,30000-0000032469,United Commerce,53322,88.46039892
3738,MERCANTILE BANK,30000-0000032473,Mercantil Commercebank,66254,95.11348499
3739,HOMESTREET BANK,30000-0000032489,,,
3740,FIDELITY BANK & TRUST COMPANY,30000-0000032511,,,
3741,UNION BANK OF FLORIDA,30000-0000032518,,,
3742,EAGLE BANK OF ALABAMA,30000-0000032573,,,
3743,BEAL BANK,30000-0000032574,Beal Bank,559,100
3744,"FIRST AMERICAN BANK, SSB",30000-0000032623,First American Bank Of Alabama,10492,86.56943014
3746,HELM BANK,30000-0000032718,,,
3748,BANK OF BLUE VALLEY,30000-0000032722,,,
3749,FIRST WASHINGTON STATE BANK,30000-0000032725,Port WA State Bank,61650,87.91083977
3750,INDEPENDENT BANK & TRUST CO,30000-0000032735,,,
3752,EASTSIDE BANK/MAIN STREET BANK,30000-0000032738,,,
3754,NOVATO COMMUNITY BANK,30000-0000032743,,,
3755,BRYAN BANK & TRUST,30000-0000032744,,,
3756,ROCKWOOD BANK,30000-0000032745,,,
